,City Name,Latitude,Temp,Humidity,Cloudiness,Wind Speed
20,ushuaia,-54.81,47.39,61,75,4.7
34,punta arenas,-53.16,47.25,61,75,17.22
91,mar del plata,-46.43,68.99,34,0,8.97
146,kaitangata,-46.28,36.59,71,0,5.17
31,mataura,-46.19,36.95,100,0,3.27
44,tuatapere,-46.13,42.71,100,8,5.84
71,comodoro rivadavia,-45.87,62.6,42,0,4.7
77,dunedin,-45.87,29.75,89,8,2.71
280,coihaique,-45.58,53.67,53,0,4.7
298,margate,-43.03,46.4,87,40,6.93
58,hobart,-42.88,46.4,87,40,6.93
4,new norfolk,-42.78,46.4,87,40,6.93
103,hokitika,-42.72,49.55,99,0,2.71
45,castro,-42.48,61.52,63,0,3.38
327,ancud,-41.87,63.23,65,0,1.36
346,launceston,-41.43,41.0,93,92,3.36
96,burnie,-41.05,54.14,98,92,10.98
112,necochea,-38.55,59.36,67,32,4.94
43,barrow,-38.31,64.67,46,64,4.5
106,mount gambier,-37.83,46.22,86,8,3.38
402,montrose,-37.81,47.28,93,0,6.93
211,kyabram,-36.31,48.74,79,0,6.17
184,batemans bay,-35.71,53.51,97,92,5.61
182,ngunguru,-35.62,55.04,100,0,12.77
492,swan hill,-35.34,51.71,79,0,5.17
102,ahipara,-35.17,44.15,100,0,4.38
470,kaeo,-35.1,41.72,78,0,5.95
168,goulburn,-34.75,48.47,96,92,7.07
220,port lincoln,-34.72,54.77,99,92,9.19
295,flinders,-34.58,50.0,87,40,10.29
82,bredasdorp,-34.53,68.0,72,32,11.41
377,rocha,-34.48,60.35,57,0,10.54
59,hermanus,-34.42,64.67,54,8,3.15
414,kruisfontein,-34.0,65.93,80,20,10.98
68,cape town,-33.93,68.0,72,0,9.17
55,chuy,-33.69,58.37,86,0,15.68
76,busselton,-33.64,57.29,100,56,13.67
12,port alfred,-33.59,68.09,80,0,13.33
426,santiago,-33.44,70.7,30,0,3.36
307,collie,-33.36,54.77,91,92,9.08
125,jamestown,-33.21,47.57,75,92,7.52
32,east london,-33.02,66.2,68,0,11.41
